Chamber: 201.6°F | Meat: 189.1°F | Target: 210.0°F | SSR: ON
Chamber: 201.6°F | Meat: 189.1°F | Target: 210.0°F | SSR: ON
Chamber: 201.6°F | Meat: 189.5°F | Target: 210.0°F | SSR: ON
Chamber: 201.6°F | Meat: 189.5°F | Target: 210.0°F | SSR: ON
Chamber: 201.6°F | Meat: 189.5°F | Target: 210.0°F | SSR: ON
Chamber: 202.1°F | Meat: 189.9°F | Target: 210.0°F | SSR: ON
Chamber: 202.1°F | Meat: 189.9°F | Target: 210.0°F | SSR: ON
Chamber: 202.1°F | Meat: 189.5°F | Target: 210.0°F | SSR: ON
Chamber: 202.1°F | Meat: 189.5°F | Target: 210.0°F | SSR: ON
Chamber: 202.1°F | Meat: 189.1°F | Target: 210.0°F | SSR: ON
Chamber: 202.1°F | Meat: 188.1°F | Target: 210.0°F | SSR: ON
Chamber: 202.1°F | Meat: 193.6°F | Target: 210.0°F | SSR: ON
Chamber: 201.6°F | Meat: 193.1°F | Target: 210.0°F | SSR: ON
Chamber: 202.1°F | Meat: 192.6°F | Target: 210.0°F | SSR: ON
Chamber: 201.6°F | Meat: 193.6°F | Target: 210.0°F | SSR: ON
Chamber: 202.1°F | Meat: 194.9°F | Target: 210.0°F | SSR: ON
Chamber: 202.1°F | Meat: 193.6°F | Target: 210.0°F | SSR: ON
Chamber: 202.1°F | Meat: 186.4°F | Target: 210.0°F | SSR: ON
Chamber: 202.1°F | Meat: 186.4°F | Target: 210.0°F | SSR: ON
Chamber: 202.1°F | Meat: 187.7°F | Target: 210.0°F | SSR: ON
Chamber: 202.1°F | Meat: 187.7°F | Target: 210.0°F | SSR: ON
Chamber: 202.1°F | Meat: 188.6°F | Target: 210.0°F | SSR: ON
Chamber: 202.6°F | Meat: 188.1°F | Target: 210.0°F | SSR: ON
Chamber: 202.6°F | Meat: 187.7°F | Target: 210.0°F | SSR: ON
Chamber: 202.6°F | Meat: 188.1°F | Target: 210.0°F | SSR: ON
Chamber: 202.6°F | Meat: 190.4°F | Target: 210.0°F | SSR: ON
Chamber: 202.6°F | Meat: 191.8°F | Target: 210.0°F | SSR: ON
