elapsed_s,chamber_f,meat_f,ssr
0,0,0,0
2,0,0,1
4,0,0,1
10,0,0,1
13,0,0,1
13,0,0,1
13,0,0,1
14,0,0,1
16,0,0,1
18,0,0,1
20,0,0,1
22,0,0,1
24,0,0,1
35,0,0,1
35,0,0,1
35,0,0,1
35,0,0,1
35,0,0,1
36,0,0,1
48,0,0,1
53,0,0,1
53,0,0,1
53,0,0,1
53,0,0,1
53,0,0,1
53,0,0,1
53,0,0,1
54,0,0,1
56,0,0,1
58,0,0,1
60,0,0,1
67,0,0,1
67,0,0,1
67,0,0,1
68,0,0,1
72,0,0,1
72,0,0,1
76,0,0,1
76,0,0,1
78,168.8000031,166.6499939,1
80,168.8000031,167.1000061,1
84,168.8000031,168,1
84,168.8000031,167.1000061,1
86,169.25,167.1000061,1
99,169.6999969,167.1000061,1
99,169.6999969,167.1000061,1
100,169.6999969,167.1000061,1
102,169.6999969,167.1000061,1
102,169.6999969,167.1000061,1
102,169.6999969,167.1000061,1
102,169.6999969,167.1000061,1
102,169.6999969,167.1000061,1
104,169.6999969,167.1000061,1
106,169.6999969,167.1000061,1
108,169.6999969,167.1000061,1
110,169.6999969,167.1000061,1
112,169.6999969,167.1000061,1
114,169.6999969,167.1000061,1
116,169.6999969,167.1000061,1
118,169.6999969,167.1000061,1
120,169.6999969,167.1000061,1
122,169.6999969,167.1000061,1
124,169.6999969,167.1000061,1
126,169.6999969,167.1000061,1
128,169.6999969,167.1000061,1
130,169.6999969,167.1000061,1
132,169.6999969,167.1000061,1
134,169.6999969,167.1000061,1
138,169.6999969,167.1000061,1
143,169.6999969,167.1000061,1
143,169.6999969,167.1000061,1
143,169.6999969,167.1000061,1
144,169.6999969,167.1000061,1
146,169.6999969,167.1000061,1
148,169.6999969,167.1000061,1
150,169.6999969,167.1000061,1
206,169.6999969,167.1000061,0
208,194.4499969,194.1000061,1
210,194,195,1
212,194.4499969,195.4499969,1
214,194.4499969,195.8999939,1
216,194.8999939,195.8999939,1
218,194.8999939,194.5500031,1
221,194.8999939,196.3500061,1
222,194.8999939,196.3500061,1
224,194.8999939,196.3500061,1
226,194.8999939,196.3500061,1
228,194.8999939,196.3500061,1
234,194.8999939,196.3500061,1
234,194.8999939,196.3500061,1
251,194.8999939,196.3500061,1
400,194.8999939,196.3500061,0
400,194.8999939,196.3500061,1
402,194.8999939,196.3500061,1
404,194.8999939,196.3500061,1
406,194.8999939,196.3500061,1
408,194.8999939,196.3500061,1
410,194.8999939,196.3500061,1
412,194.8999939,196.3500061,1
414,194.8999939,196.3500061,1
416,194.8999939,196.3500061,1
418,194.8999939,196.3500061,1
421,194.8999939,196.3500061,1
422,194.8999939,196.3500061,1
424,194.8999939,196.3500061,1
426,194.8999939,196.3500061,1
428,194.8999939,196.3500061,1
430,194.8999939,196.3500061,1
432,194.8999939,196.3500061,1
434,194.8999939,196.3500061,1
436,194.8999939,196.3500061,1
438,194.8999939,196.3500061,1
440,194.8999939,196.3500061,1
442,194.8999939,196.3500061,1
445,194.8999939,196.3500061,1
446,194.8999939,196.3500061,1
448,194.8999939,196.3500061,1
450,194.8999939,196.3500061,1
454,194.8999939,196.3500061,1
454,194.8999939,196.3500061,1
456,194.8999939,196.3500061,1
458,194.8999939,196.3500061,1
465,194.8999939,196.3500061,1
465,194.8999939,196.3500061,1
466,194.8999939,196.3500061,1
466,194.8999939,196.3500061,1
470,194.8999939,196.3500061,1
470,194.8999939,196.3500061,1
472,194.8999939,196.3500061,1
474,194.8999939,196.3500061,1
640,191.75,190.9499969,0
644,191.75,190.9499969,1
644,191.75,190.9499969,1
650,191.75,190.9499969,1
662,191.75,190.9499969,1
676,191.75,190.9499969,1
676,191.75,190.9499969,1
676,191.75,190.9499969,1
676,191.75,190.9499969,1
676,191.75,190.9499969,1
676,191.75,190.9499969,1
679,191.75,190.9499969,1
681,191.75,190.9499969,1
683,191.75,190.9499969,1
685,191.75,190.9499969,1
687,191.75,190.9499969,1
689,191.75,190.9499969,1
691,191.75,190.9499969,1
693,191.75,190.9499969,1
696,191.75,190.9499969,1
698,191.75,190.9499969,1
699,191.75,190.9499969,1
701,191.75,190.9499969,1
703,191.75,190.9499969,1
705,191.75,190.9499969,1
707,191.75,190.9499969,1
709,191.75,190.9499969,1
711,191.75,190.9499969,1
713,191.75,190.9499969,1
716,191.75,190.9499969,1
718,191.75,190.9499969,1
724,191.75,190.9499969,1
725,191.75,190.9499969,1
725,191.75,190.9499969,1
725,191.75,190.9499969,1
727,191.75,190.9499969,1
730,191.75,190.9499969,1
731,191.75,190.9499969,1
738,191.75,190.9499969,1
741,191.75,190.9499969,1
741,191.75,190.9499969,1
741,191.75,190.9499969,1
741,191.75,190.9499969,1
743,191.75,190.9499969,1
745,191.75,190.9499969,1
749,191.75,190.9499969,1
749,190.8500061,185.5500031,1
751,190.8500061,185.5500031,1
754,190.8500061,185.5500031,1
